comorbidity_id,comorbidity_name,preferred_name,abbr,chinese_label,description,source,synonyms,see_also,category_id,rdoc_link
11,Separation Anxiety Disorder,Separation Anxiety Disorder,SAD,分离焦虑障碍,"A condition characterized by excessive fear or anxiety concerning separation from attachment figures, beyond what is expected for the individual's developmental level.",DSM-5,,,40,
12,Specific Phobia,Specific Phobia,,特定恐惧症,"An anxiety disorder characterized by a significant and persistent fear of a specific object or situation, leading to avoidance behavior.",DSM-5,Simple Phobia,,40,
13,Agoraphobia,Agoraphobia,,广场恐惧症,"An anxiety disorder involving intense fear and avoidance of situations where escape might be difficult, or help unavailable, often leading to avoidance of public places.",DSM-5,,,40,
14,Avoidant Personality Disorder,Avoidant Personality Disorder,AVPD,回避型人格障碍,"A personality disorder characterized by a pervasive pattern of social inhibition, feelings of inadequacy, and hypersensitivity to negative evaluation.",StatPearls,,,40,
15,Borderline Personality Disorder,Borderline Personality Disorder,BPD,边缘型人格障碍,"A personality disorder marked by a pervasive pattern of instability in interpersonal relationships, self-image, and affects, along with marked impulsivity.",DSM-5,,,40,
16,Antisocial Personality Disorder,Antisocial Personality Disorder,ASPD,反社会人格障碍,"A personality disorder characterized by a pervasive pattern of disregard for, and violation of, the rights of others.",DSM-5,"Sociopathy, Psychopathy",,40,
17,Psychotic Disorder,Psychotic Disorder,,精神病性障碍,"A group of serious mental disorders characterized by distorted thinking and awareness, often including delusions and hallucinations.",Mayo Clinic,,,40,
18,Eating Disorders,Eating Disorders,EDs,进食障碍,"Disorders characterized by abnormal or disturbed eating habits, which negatively affect physical and mental health.",Mayo Clinic,,,40,
19,Anorexia Nervosa,Anorexia Nervosa,AN,神经性厌食症,"An eating disorder characterized by an intense fear of gaining weight and a distorted body image, leading to restricted food intake and excessive weight loss.",DSM-5,,,40,
20,Bulimia Nervosa,Bulimia Nervosa,BN,神经性贪食症,"An eating disorder characterized by recurrent episodes of binge eating followed by compensatory behaviors such as vomiting, fasting, or excessive exercise.",DSM-5,,,40,
21,Dysthymia,Dysthymia,PDD,持续性抑郁障碍（心境恶劣障碍）,"A chronic form of depression with persistent low mood lasting for at least two years, often with intermittent major depressive episodes.",DSM-5,Persistent Depressive Disorder,,40,
22,Body Dysmorphic Disorder,Body Dysmorphic Disorder,BDD,身体变形障碍,"A mental health disorder characterized by an obsessive focus on perceived flaws in physical appearance, often leading to distress and compulsive behaviors.",DSM-5,,,40,
23,Tic Disorder,Tic Disorder,,抽动障碍,"A group of disorders characterized by sudden, rapid, recurrent, non-rhythmic motor movements or vocalizations.",DSM-5,,,40,
24,Trichotillomania,Trichotillomania,TTM,拔毛癖,"A mental disorder involving recurrent, irresistible urges to pull out one's hair, leading to hair loss and distress.",DSM-5,Hair-Pulling Disorder,,40,
25,Excoriation (Skin-Picking) Disorder,Excoriation (Skin-Picking) Disorder,SPD,皮肤剥离障碍（皮肤搔抓症）,"A disorder characterized by recurrent skin-picking, leading to skin lesions and significant distress or impairment.",DSM-5,Dermatillomania,,40,
26,Tourette's Disorder,Tourette's Disorder,TD,妥瑞氏综合征,A neurological disorder characterized by multiple motor and vocal tics lasting more than one year.,DSM-5,Tourette Syndrome,,40,
27,Substance/Medication-Induced Disorder,Substance/Medication-Induced Disorder,,物质/药物诱发障碍,"A mental disorder caused by substance use or withdrawal, leading to significant psychological symptoms and distress.",DSM-5,,,40,
28,Substance/Medication-Induced Bipolar Disorder,Substance/Medication-Induced Bipolar Disorder,,物质/药物诱发的双相障碍,"A mood disorder featuring manic, hypomanic, or depressive episodes triggered by substance use or withdrawal.",DSM-5,,,40,
29,Substance/Medication-Induced Disorder,Substance/Medication-Induced Disorder,,物质/药物诱发障碍,"A mental disorder caused by substance use or withdrawal, leading to significant psychological symptoms and distress.",DSM-5,,,40,
30,Acute Stress Disorder,Acute Stress Disorder,ASD,急性应激障碍,"A short-term mental health condition occurring after exposure to a traumatic event, characterized by intrusive symptoms, dissociation, and hyperarousal.",DSM-5,,,40,
31,Illness Anxiety Disorder,Illness Anxiety Disorder,IAD,疾病焦虑障碍,"A disorder involving excessive worry about having or acquiring a serious illness, despite minimal or no medical evidence.",DSM-5,Hypochondriasis,,40,
32,Conduct Disorder,Conduct Disorder,CD,品行障碍,"A behavioral disorder characterized by persistent patterns of aggressive, deceitful, or rule-violating behaviors in children and adolescents.",DSM-5,,,40,
33,Conversion Disorder,Conversion Disorder,FND,转换障碍（功能性神经症状障碍）,"A disorder in which psychological stress is converted into neurological symptoms, such as paralysis, blindness, or seizures, without an identifiable medical cause.",DSM-5,Functional Neurological Disorder,,40,
34,Mild Traumatic Brain Injury,Mild Traumatic Brain Injury,mTBI,轻度创伤性脑损伤,"A brain injury caused by external force, typically leading to temporary cognitive impairment, headaches, and dizziness.",Merck Manual,Concussion,,41,
35,Traumatic Brain Injury,Traumatic Brain Injury,TBI,创伤性脑损伤,"A brain dysfunction caused by an external mechanical force, potentially leading to cognitive, emotional, and physical impairments.",Mayo Clinic,,,41,
36,Schizophrenia,Schizophrenia,,精神分裂症,"A chronic mental disorder characterized by episodes of psychosis, including hallucinations, delusions, and disorganized thinking.",DSM-5,,,40,
37,Schizoaffective Disorder,Schizoaffective Disorder,SZA,情感性精神分裂症,"A mental disorder featuring symptoms of both schizophrenia and mood disorders, such as depression or bipolar disorder.",DSM-5,,,40,
38,Obsessive-Compulsive Personality Disorder (OCPD),Obsessive-Compulsive Personality Disorder (OCPD),OCPD,强迫型人格障碍,"A personality disorder marked by a pervasive pattern of preoccupation with orderliness, perfectionism, and control at the expense of flexibility and efficiency.",DSM-5,,,40,
39,Hikikomori,Hikikomori,,隐蔽青年（社交退缩综合征）,"A severe form of social withdrawal in which individuals isolate themselves at home for extended periods, avoiding social interactions and responsibilities.","StatPearls, DSM-5 Proposed Criteria",Severe Social Withdrawal,,40,
40,High-Functioning Autism (in children),High-Functioning Autism (in children),HFA,高功能自闭症（儿童）,A form of autism spectrum disorder where individuals have average or above-average intelligence but experience difficulties in social interaction and communication.,DSM-5,Autism Spectrum Disorder,,40,
41,Selective Mutism (in children),Selective Mutism (in children),SM,选择性缄默症（儿童）,A childhood anxiety disorder characterized by consistent failure to speak in specific social situations despite speaking in others.,DSM-5,,,40,
42,Normative Shyness,Normative Shyness,,规范性害羞,"A common personality trait characterized by temporary social withdrawal or hesitancy in new situations, not reaching clinical anxiety disorder levels.",StatPearls,,,40,
43,Anxiety Disorders,Anxiety Disorders,ADs,焦虑障碍,A group of mental health conditions involving excessive fear or worry that interferes with daily life.,DSM-5,,,40,
44,Personality Disorders,Personality Disorders,PDs,人格障碍,"A class of mental disorders characterized by enduring patterns of behavior, cognition, and inner experience that deviate significantly from cultural norms.",DSM-5,,,40,
45,Suicidal Thoughts or Suicide,Suicidal Thoughts or Suicide,,自杀意念或自杀,"Suicidal ideation involves thoughts of self-harm or ending one’s life, while suicide refers to the act of intentionally ending one’s life.",Mayo Clinic,Suicidal Ideation,,40,
46,Phobias,Phobias,,恐惧症,"An intense and irrational fear of a specific object, situation, or activity that leads to avoidance behavior.",DSM-5,Specific Phobias,,40,
47,Adjustment Disorder,Adjustment Disorder,AjD,适应障碍,A stress-related condition where individuals experience emotional or behavioral symptoms in response to an identifiable life stressor.,DSM-5,,,40,
48,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,COPD,慢性阻塞性肺疾病,"A progressive lung disease characterized by airflow obstruction, leading to breathing difficulties, coughing, and reduced exercise tolerance.",Merck Manual,,,41,
49,Epilepsy,Epilepsy,,癫痫,"A neurological disorder marked by recurrent, unprovoked seizures due to abnormal electrical activity in the brain.",Mayo Clinic,Seizure Disorder,,41,
50,Hyperthyroidism,Hyperthyroidism,,甲亢,"A condition in which the thyroid gland produces excessive thyroid hormones, leading to increased metabolism, weight loss, and anxiety symptoms.",Mayo Clinic,Overactive Thyroid,,41,
51,Pheochromocytoma,Pheochromocytoma,PHEO,嗜铬细胞瘤,"A rare tumor of the adrenal glands that produces excessive catecholamines, leading to high blood pressure, palpitations, and anxiety-like symptoms.",Merck Manual,,,41,
52,Transient Ischemic Attack,Transient Ischemic Attack,TIA,短暂性脑缺血发作,"A temporary period of neurological dysfunction caused by a brief blockage of blood supply to the brain, often a warning sign for stroke.",Mayo Clinic,Mini-Stroke,,41,
53,Angina,Angina,,心绞痛,"Chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress.",Merck Manual,Angina Pectoris,,41,
54,Asthma,Asthma,,哮喘,"A chronic respiratory condition characterized by airway inflammation, bronchoconstriction, and episodes of wheezing, coughing, and shortness of breath.",Mayo Clinic,,,41,
55,Congestive Heart Failure,Congestive Heart Failure,CHF,充血性心力衰竭,"A chronic condition in which the heart is unable to pump blood efficiently, leading to fluid buildup in the lungs and body.",Mayo Clinic,Heart Failure,,41,
56,Mitral Valve Prolapse,Mitral Valve Prolapse,MVP,二尖瓣脱垂,"A heart valve disorder where the mitral valve does not close properly, sometimes leading to palpitations, chest pain, or regurgitation.",Merck Manual,,,41,
57,Pulmonary Embolism,Pulmonary Embolism,PE,肺栓塞,"A life-threatening condition in which a blood clot blocks one of the pulmonary arteries in the lungs, leading to chest pain, shortness of breath, and hypoxia.",Mayo Clinic,,,41,
58,Delusional Disorder,Delusional Disorder,,妄想障碍,"A psychiatric condition characterized by persistent, false beliefs that are not influenced by contradictory evidence.",DSM-5,Paranoid Disorder,,40,
59,Schizoid Personality Disorder,Schizoid Personality Disorder,SPD,分裂样人格障碍,A personality disorder marked by detachment from social relationships and restricted emotional expression.,DSM-5,,,40,
60,Substance-Related Disorder,Substance-Related Disorder,SRD,物质相关障碍,"A broad category of disorders related to substance use, including intoxication, withdrawal, and dependence.",DSM-5,,,40,
61,Hoarding Disorder,Hoarding Disorder,HD,囤积障碍,"A mental health disorder characterized by persistent difficulty discarding possessions, leading to clutter that disrupts living spaces.",DSM-5,Compulsive Hoarding,,40,
62,Dissociative Disorders,Dissociative Disorders,DDs,分离性障碍,"A group of mental disorders involving disruptions in memory, identity, emotion, perception, and sense of self.",DSM-5,,,40,
63,Irritable Bowel Syndrome,Irritable Bowel Syndrome,IBS,肠易激综合征,"A common gastrointestinal disorder characterized by abdominal pain, bloating, and altered bowel habits without an identifiable organic cause.",Mayo Clinic,"Spastic Colon, Functional Bowel Disorder",,41,
64,Mild Alcohol Use Disorder,Mild Alcohol Use Disorder,MAUD,轻度酒精使用障碍,A condition where alcohol consumption leads to mild impairment or distress but does not meet criteria for severe dependency.,DSM-5,,,40,
65,Major Neurocognitive Disorder,Major Neurocognitive Disorder,MND,重大神经认知障碍,"A disorder characterized by significant cognitive decline in one or more domains, affecting independence in daily activities.",DSM-5,Dementia,,40,
