symptom_id,symptom_name,preferred_name,abbr,chinese_label,description,source,synonyms,see_also,category_id,rdoc_link
79,blurred vision,blurred vision,,视力模糊,"Visual impairment that can occur due to anxiety, stress, or other physical conditions.",Merck,,UMLS_CUI:C0344232,6,
80,Blushing,Blushing,,面红耳赤,"A reddening of the face due to embarrassment or anxiety, common in social anxiety disorder.",Mayo Clinic,,UMLS CUI: C0005874,6,
81,Burn of stomach,Burn of stomach,,胃灼热,"A sensation of burning in the stomach, commonly associated with acid reflux or anxiety.",Merck,,UMLS_CUI:C0274197,6,
82,Chest pain,Chest pain,,胸痛,"Discomfort or pain in the chest, which can be associated with anxiety, panic attacks, or cardiovascular conditions.",Mayo Clinic,,UMLS CUI: C0008031,6,
83,Chest tightness,Chest tightness,,胸闷,"A sensation of pressure or tightness in the chest, often linked to anxiety or panic disorders.",StatPearls,,UMLS_CUI:C0232292,6,
84,Chills,Chills,,寒战,"Shivering or feeling cold, commonly linked to anxiety or physical reactions to stress.",Merck,,UMLS CUI: C0085593,6,
85,Choking sensation,Choking sensation,,喉咙异物感,"A feeling of tightness in the throat, which can be a physical symptom of anxiety or panic.",DSM-5,,UMLS_CUI: C0546947,6,
86,Chronic pain,Chronic pain,,慢性疼痛,"Ongoing pain that lasts for an extended period, often associated with psychological factors like stress.",Mayo Clinic,,UMLS_CUI:C0150055,6,
87,Constipation,Constipation,,便秘,"Difficulty or infrequency in passing stools, often influenced by stress or anxiety.",Merck,,UMLS_CUI:C0009806,6,
88,Decreased Libido,Decreased Libido,,性欲减退,"Reduced sexual desire, often seen in depression or anxiety.",DSM-5,,UMLS_CUI:C0011124,6,
89,Decreased need for sleep,Decreased need for sleep,,睡眠需求减少,"A reduction in sleep duration or quality, commonly seen in mood disorders such as mania.",DSM-5,,UMLS_CUI:C1862911,6,
90,Diarrhea,Diarrhea,,腹泻,"Frequent, loose stools that can be triggered by stress or anxiety.",Merck,,UMLS_CUI:C0011991,6,
91,Dizziness or lightheadedness,Dizziness or lightheadedness,,头晕或轻微眩晕,"A feeling of faintness or near fainting, often linked to anxiety or panic attacks.",Mayo Clinic,,UMLS_CUI: C0012833,6,
92,Dry mouth,Dry mouth,,口干,"A sensation of dryness in the mouth, commonly associated with anxiety or stress.",StatPearls,,UMLS_CUI:C0478155,6,
93,Faint,Faint,,昏厥,"Loss of consciousness or feeling lightheaded, often caused by anxiety, dehydration, or medical conditions.",Mayo Clinic,,UMLS_CUI: C0581879,6,
94,Fast heartbeat,Fast heartbeat,,心跳加速,"A rapid heart rate, which can be a physical symptom of anxiety or panic.",DSM-5,,,6,
95,Fatigue,Fatigue,,疲劳,"A pervasive sense of tiredness or low energy, which can be linked to depression, stress, or physical illness.",DSM-5,,UMLS_CUI:C0015672,6,
96,Flatulence,Flatulence,,胀气,"The release of gas from the digestive system, which can be influenced by anxiety or digestive issues.",Merck,,UMLS_CUI:C0016204,6,
97,Frequent urination,Frequent urination,,尿频,"The need to urinate more often, a symptom of anxiety or physical conditions like urinary tract infections.",Mayo Clinic,,UMLS_CUI:C0042023,6,
98,Headache,Headache,,头痛,"Pain in the head or upper neck, which can be caused by stress or anxiety.",StatPearls,,UMLS CUI: C0018681,6,
99,Hot flashes,Hot flashes,,潮热,"Sudden feelings of heat or sweating, commonly linked to hormonal changes or anxiety.",Mayo Clinic,,UMLS CUI: C0600142,6,
100,Hypersomnia,Hypersomnia,,嗜睡,"Excessive sleepiness, often observed in depression or other mood disorders.",DSM-5,,UMLS_CUI:C0917799,6,
101,Indigestion,Indigestion,,消化不良,"Discomfort in the stomach, often caused by anxiety or digestive problems.",Merck,,UMLS_CUI:C0013395,6,
102,Insomnia,Insomnia,,失眠,"Difficulty falling or staying asleep, commonly associated with anxiety and depression.",DSM-5,,UMLS_CUI:C0033139,6,
103,Irritable Bowel Syndrome,Irritable Bowel Syndrome,,肠易激综合症,"A gastrointestinal disorder characterized by symptoms such as abdominal pain, bloating, and altered bowel habits, often influenced by stress.",Mayo Clinic,,UMLS_CUI:C0022104,6,
104,Malnutrition,Malnutrition,,营养不良,"A condition resulting from insufficient nutrients, sometimes linked to psychological conditions like depression or eating disorders.",Merck,,UMLS_CUI:C0162429,6,
105,Muscle tension,Muscle tension,,肌肉紧张,"Tightness or stiffness in the muscles, commonly associated with anxiety or stress.",DSM-5,,UMLS_CUI:C0427195,6,
106,Nausea,Nausea,,恶心,"A sensation of queasiness or the urge to vomit, which can be caused by anxiety or other physical conditions.",Mayo Clinic,,UMLS_CUI:C0027497,6,
107,Numbness,Numbness,,麻木,"A loss of sensation in a part of the body, often related to anxiety or trauma.",StatPearls,,UMLS CUI: C0028643,6,
108,Pain,Pain,,疼痛,Physical discomfort that can arise from stress or emotional distress.,Merck,,UMLS_CUI:C0030193,6,
109,Palpitations,Palpitations,,心悸,"The sensation of a fast or irregular heartbeat, often linked to anxiety or panic attacks.",Mayo Clinic,,UMLS_CUI:C0030252,6,
110,Physiological reactions to something that reminds you of a traumatic event,Physiological reactions to something that reminds you of a traumatic event,,对让你想起创伤事件的事物的生理反应,"Physical symptoms triggered by reminders of trauma, common in PTSD.",DSM-5,,,6,
111,Rapid breathing,Rapid breathing,,呼吸急促,"Increased breathing rate, often associated with anxiety or panic attacks.",Mayo Clinic,,,6,
112,Sensations of shortness of breath,Sensations of shortness of breath,,气短感,"Difficulty breathing or feeling as though you can’t get enough air, often linked to panic attacks.",DSM-5,,,6,
113,Sleep disturbance,Sleep disturbance,,睡眠障碍,"Any disruption in sleep patterns, often seen in mood or anxiety disorders.",Mayo Clinic,,UMLS_CUI:C0037317,6,
114,Sweating,Sweating,,出汗,"Excessive perspiration, particularly in response to anxiety or panic attacks.",Merck,,UMLS_CUI:C0038990,6,
115,Throat swelling,Throat swelling,,喉咙肿胀,"A sensation of tightness or swelling in the throat, commonly seen in anxiety disorders.",DSM-5,,UMLS_CUI:C0236024,6,
116,Tingling sensations,Tingling sensations,,触觉异常,"Abnormal sensations like pins and needles, often linked to anxiety or physical conditions.",Mayo Clinic,,UMLS CUI: C2242996,6,
117,Trembling,Trembling,,颤抖,"Shaking or quivering, often caused by anxiety or panic attacks.",StatPearls,,UMLS_CUI:C0234369,6,
118,Unusual changes in appetite,Unusual changes in appetite,,食欲的异常变化,"Significant increase or decrease in appetite, commonly observed in depression or anxiety.",DSM-5,,UMLS_CUI:C0426587,6,
119,Unusual weight changes,Unusual weight changes,,体重的异常变化,"Noticeable weight gain or loss, often related to mood disorders or eating disorders.",Mayo Clinic,,UMLS_CUI:C0005911,6,
120,Urgency to urinate,Urgency to urinate,,尿急,"A frequent and urgent need to urinate, often exacerbated by anxiety or bladder conditions.",Merck,,UMLS_CUI:C0085606,6,
121,Vomiting,Vomiting,,呕吐,"The forceful expulsion of stomach contents, which can occur due to anxiety or gastrointestinal issues.",StatPearls,,UMLS_CUI:C0042963,6,
122,Psychomotor agitation,Psychomotor agitation,,精神运动性兴奋,"Restlessness or an inability to sit still, often seen in anxiety or manic episodes.",DSM-5,,UMLS_CUI:C3887612,7,
123,Psychomotor retardation,Psychomotor retardation,,精神运动性迟缓,"Slowed physical or mental activity, which can be a symptom of depression.",DSM-5,,,7,
124,Feelings of worthlessness,Feelings of worthlessness,,自卑感,"A pervasive sense of inadequacy or lack of value, commonly associated with depression.",Mayo Clinic,,,8,
125,Inappropriate guilt,Inappropriate guilt,,不适当的内疚,"Feeling guilty about things that are out of proportion to the situation, often seen in depression or PTSD.",DSM-5,,UMLS_CUI:C0424220,8,
126,Inflated self-esteem,Inflated self-esteem,,自尊膨胀,"An exaggerated sense of one’s abilities or worth, often seen in mania.",DSM-5,,UMLS_CUI:C0424121,8,
127,Low self-esteem,Low self-esteem,,低自尊,"A negative perception of oneself, commonly associated with depression or anxiety.",Mayo Clinic,,UMLS_CUI:C0679136,8,
128,Refusal to acknowledge issues,Refusal to acknowledge issues,,拒绝承认问题,"Denial of problems or difficulties, often seen in various mental health disorders.",StatPearls,,,8,
129,Feeling detached from family and friends,Feeling detached from family and friends,,与家人和朋友的疏离感,"A sense of disconnection or isolation from loved ones, often observed in depression or PTSD.",DSM-5,,,9,
130,Interpersonal Relationships,Interpersonal Relationships,,人际关系问题,"Difficulties in maintaining healthy relationships, which can be impacted by mental health disorders like depression or anxiety.",Mayo Clinic,,,9,
131,Learning Capability,Learning Capability,,学习能力下降,"Impaired cognitive function, often related to mental health conditions like depression or anxiety.",StatPearls,,,9,
132,Work Performance,Work Performance,,工作表现差,"Reduced ability to perform effectively at work, often due to depression, anxiety, or stress.",Merck,,,9,
133,Always being on guard for danger,Always being on guard for danger,,总是警觉潜在危险,"A heightened sense of vigilance or fear, often observed in anxiety or PTSD.",DSM-5,,,10,
134,Suicidal behavior,Suicidal behavior,,自杀行为,"Engaging in self-harm or contemplating suicide, often a severe symptom of depression or other mood disorders.",DSM-5,,UMLS_CUI:C1760428,10,
135,Suicidal intent,Suicidal intent,,自杀意图,"The desire or plan to take one's own life, indicating a critical mental health emergency.",Mayo Clinic,,UMLS_CUI:C0582496,10,
